start_time,end_time,rows_written
2010-05-01 00:00:00,2010-06-01 00:00:00,41
2010-06-01 00:00:00,2010-07-01 00:00:00,43
2010-07-01 00:00:00,2010-08-01 00:00:00,87
2010-08-01 00:00:00,2010-09-01 00:00:00,82
2010-09-01 00:00:00,2010-10-01 00:00:00,95
2010-10-01 00:00:00,2010-11-01 00:00:00,133
2010-11-01 00:00:00,2010-12-01 00:00:00,146
2010-12-01 00:00:00,2011-01-01 00:00:00,58
2011-01-01 00:00:00,2011-02-01 00:00:00,170
2011-02-01 00:00:00,2011-03-01 00:00:00,200
2011-03-01 00:00:00,2011-04-01 00:00:00,197
2011-04-01 00:00:00,2011-05-01 00:00:00,152
2011-05-01 00:00:00,2011-06-01 00:00:00,96
2011-06-01 00:00:00,2011-07-01 00:00:00,100
2011-07-01 00:00:00,2011-08-01 00:00:00,127
2011-08-01 00:00:00,2011-09-01 00:00:00,162
2011-09-01 00:00:00,2011-10-01 00:00:00,169
2011-10-01 00:00:00,2011-11-01 00:00:00,126
2011-11-01 00:00:00,2011-12-01 00:00:00,153
2011-12-01 00:00:00,2012-01-01 00:00:00,131
2012-01-01 00:00:00,2012-02-01 00:00:00,91
2012-02-01 00:00:00,2012-03-01 00:00:00,67
2012-03-01 00:00:00,2012-04-01 00:00:00,133
2012-04-01 00:00:00,2012-05-01 00:00:00,117
2012-05-01 00:00:00,2012-06-01 00:00:00,179
2012-06-01 00:00:00,2012-07-01 00:00:00,158
2012-07-01 00:00:00,2012-08-01 00:00:00,239
2012-08-01 00:00:00,2012-09-01 00:00:00,156
2012-09-01 00:00:00,2012-10-01 00:00:00,139
2012-10-01 00:00:00,2012-11-01 00:00:00,120
2012-11-01 00:00:00,2012-12-01 00:00:00,163
2012-12-01 00:00:00,2013-01-01 00:00:00,160
2013-01-01 00:00:00,2013-02-01 00:00:00,146
2013-02-01 00:00:00,2013-03-01 00:00:00,90
2013-03-01 00:00:00,2013-04-01 00:00:00,110
2013-04-01 00:00:00,2013-05-01 00:00:00,184
2013-05-01 00:00:00,2013-06-01 00:00:00,206
2013-06-01 00:00:00,2013-07-01 00:00:00,132
2013-07-01 00:00:00,2013-08-01 00:00:00,148
2013-08-01 00:00:00,2013-09-01 00:00:00,92
2013-09-01 00:00:00,2013-10-01 00:00:00,74
2013-10-01 00:00:00,2013-11-01 00:00:00,223
2013-11-01 00:00:00,2013-12-01 00:00:00,226
2013-12-01 00:00:00,2014-01-01 00:00:00,144
2014-01-01 00:00:00,2014-02-01 00:00:00,150
2014-02-01 00:00:00,2014-03-01 00:00:00,193
2014-03-01 00:00:00,2014-04-01 00:00:00,205
2014-04-01 00:00:00,2014-05-01 00:00:00,195
2014-05-01 00:00:00,2014-06-01 00:00:00,146
2014-06-01 00:00:00,2014-07-01 00:00:00,177
2014-07-01 00:00:00,2014-08-01 00:00:00,98
2014-08-01 00:00:00,2014-09-01 00:00:00,171
2014-09-01 00:00:00,2014-10-01 00:00:00,127
2014-10-01 00:00:00,2014-11-01 00:00:00,165
2014-11-01 00:00:00,2014-12-01 00:00:00,183
2014-12-01 00:00:00,2015-01-01 00:00:00,212
2015-01-01 00:00:00,2015-02-01 00:00:00,172
2015-02-01 00:00:00,2015-03-01 00:00:00,98
2015-03-01 00:00:00,2015-04-01 00:00:00,236
2015-04-01 00:00:00,2015-05-01 00:00:00,129
2015-05-01 00:00:00,2015-06-01 00:00:00,144
2015-06-01 00:00:00,2015-07-01 00:00:00,173
2015-07-01 00:00:00,2015-08-01 00:00:00,80
2015-08-01 00:00:00,2015-09-01 00:00:00,204
2015-09-01 00:00:00,2015-10-01 00:00:00,171
2015-10-01 00:00:00,2015-11-01 00:00:00,187
